company,size,industry,city,state,contacts,roles,interactions,interactionSubjects,daysSinceLastInteraction,averageOfferValue,offerClosed,offerHitRate,daysSinceLastOfferClosed,customerClassification
Rivera-Harris,Medium,Electric Vehicle (EV) Industry,New Sarah,Minnesota,1,Sales Representative,16,"Discuss project details, Product feedback, Follow-up on order, Customer inquiry, Contract negotiation, Product demostration",110,9934.38,6,0.35,41,C
Willis-Barron,Medium,Automobile Manufacturers (OEMs),Odomstad,Colorado,4,"CCO, CEO, Sales Representative, CFO",15,"Contract negotiation, Product feedback, Customer inquiry, Discuss project details, Follow-up on order, Follow-up on proposal, Product demostration",69,9959.34,9,0.45,107,B
Morgan Inc,Small,Connected Car Solutions Providers,East Antonio,Arizona,4,"Technical Representative, Technical Manager",14,"Contract negotiation, Follow-up on proposal, Follow-up on order, Product demostration, Product feedback",43,9873.77,6,0.4,61,C
Robertson-Romero,Medium,Fleet Management,South Martha,Arkansas,2,Technical Manager,19,"Contract negotiation, Discuss project details, Follow-up on order, Product demostration, Customer inquiry, Product feedback, Follow-up on proposal",143,10034.45,9,0.43,74,B
Benson-Wright,Small,Ridesharing & Mobility Services,Lake Jenniferfurt,New Jersey,2,"Technical Manager, Technical Representative",16,"Customer inquiry, Discuss project details, Follow-up on proposal, Follow-up on order, Product feedback, Product demostration",46,10078.42,6,0.3,37,C
"Mendoza, Bass and Jackson",Small,Automotive R&D and Testing Centers,East Mariah,New York,1,Technical Manager,16,"Customer inquiry, Product feedback, Follow-up on proposal, Discuss project details, Contract negotiation, Product demostration",142,9943.65,10,0.42,44,B
Lawrence-Mccarty,Medium,Electric Vehicle (EV) Industry,Port Albert,Tennessee,2,CFO,16,"Customer inquiry, Follow-up on order, Follow-up on proposal, Product demostration, Discuss project details, Contract negotiation, Product feedback",227,10035.25,6,0.38,53,C
Castro-Thompson,Large,Fleet Management,West James,Washington,1,CCO,12,"Follow-up on order, Product feedback, Product demostration, Discuss project details, Follow-up on proposal, Customer inquiry",69,9696.52,8,0.44,50,B
Hubbard-Mendez,Medium,Automobile Manufacturers (OEMs),Smithland,Oklahoma,1,Sales Manager,20,"Follow-up on order, Product demostration, Product feedback, Discuss project details, Follow-up on proposal, Customer inquiry, Contract negotiation",64,9901.18,11,0.44,67,A
Castaneda Group,Small,Fleet Management,Donnastad,Missouri,2,CCO,20,"Follow-up on proposal, Customer inquiry, Discuss project details, Product feedback, Follow-up on order, Product demostration, Contract negotiation",56,10440.63,16,0.67,174,A
"Richards, Brown and Rios",Small,Connected Car Solutions Providers,Adamsport,Colorado,1,Technical Manager,18,"Discuss project details, Follow-up on order, Customer inquiry, Product demostration, Contract negotiation, Product feedback",36,10028.42,5,0.38,116,C
"Foster, Riley and Young",Small,Connected Car Solutions Providers,Vanessaville,Colorado,2,"Sales Manager, CEO",23,"Product feedback, Follow-up on order, Product demostration, Discuss project details, Follow-up on proposal, Contract negotiation, Customer inquiry",42,9979.49,9,0.6,37,B
Williams LLC,Small,Ridesharing & Mobility Services,West Michaelburgh,Illinois,2,"Technical Manager, Technical Representative",17,"Discuss project details, Product demostration, Follow-up on proposal, Customer inquiry, Contract negotiation, Follow-up on order, Product feedback",186,9942.66,10,0.43,142,B
"Prince, Bradley and Holland",Medium,Automotive R&D and Testing Centers,Ginahaven,Wisconsin,3,"CEO, CFO",13,"Follow-up on order, Product demostration, Customer inquiry, Discuss project details, Product feedback, Contract negotiation",137,10467.57,8,0.4,55,B
"Lara, Solis and Peterson",Medium,Automotive R&D and Testing Centers,Hernandezmouth,Maryland,1,Sales Manager,22,"Customer inquiry, Product demostration, Follow-up on order, Contract negotiation, Discuss project details, Follow-up on proposal, Product feedback",51,9896.44,12,0.5,37,A
"Deleon, Jackson and Day",Small,Electric Vehicle (EV) Industry,Reevesport,Wisconsin,1,CFO,10,"Product demostration, Follow-up on proposal, Discuss project details, Product feedback, Contract negotiation",154,9982.44,11,0.44,125,A
Jimenez Inc,Large,Automotive R&D and Testing Centers,East Jennifer,Louisiana,1,Technical Representative,17,"Product demostration, Follow-up on proposal, Discuss project details, Customer inquiry, Product feedback, Follow-up on order, Contract negotiation",36,10338.71,3,0.17,123,C
Schneider and Sons,Medium,Ridesharing & Mobility Services,Brownburgh,Arizona,2,"Sales Manager, Technical Representative",17,"Product demostration, Product feedback, Follow-up on proposal, Discuss project details, Follow-up on order, Customer inquiry",154,9937.17,7,0.33,57,C
Valenzuela-Miller,Medium,Electric Vehicle (EV) Industry,Candicebury,Maine,1,CCO,11,"Customer inquiry, Contract negotiation, Discuss project details, Product demostration, Follow-up on order",162,9854.4,13,0.46,33,A
Hill-White,Small,Electric Vehicle (EV) Industry,Baileymouth,Iowa,2,CFO,13,"Product feedback, Discuss project details, Follow-up on proposal, Contract negotiation, Customer inquiry, Product demostration, Follow-up on order",158,10260.21,8,0.47,193,B
Oconnor-Allen,Medium,Automobile Manufacturers (OEMs),East Melissaton,New York,1,Technical Manager,16,"Follow-up on proposal, Follow-up on order, Contract negotiation, Discuss project details, Customer inquiry, Product demostration",123,9710.55,10,0.59,87,B
Porter LLC,Large,Ridesharing & Mobility Services,Johnsonport,Virginia,2,Technical Manager,9,"Discuss project details, Product demostration, Follow-up on proposal, Customer inquiry",69,9965.89,8,0.4,83,B
"Franco, Rodriguez and Ford",Medium,Connected Car Solutions Providers,East Julie,Mississippi,2,"CCO, Sales Manager",17,"Contract negotiation, Product demostration, Customer inquiry, Follow-up on proposal, Product feedback, Follow-up on order, Discuss project details",72,9925.38,7,0.35,103,C
Crane-Valdez,Medium,Automobile Manufacturers (OEMs),Dwayneburgh,Ohio,2,"CEO, Technical Representative",12,"Follow-up on order, Follow-up on proposal, Product feedback, Product demostration, Contract negotiation, Discuss project details",256,10229.59,8,0.53,96,B
Terrell and Sons,Medium,Ridesharing & Mobility Services,Schwartzmouth,Kentucky,3,"CFO, Technical Representative, Sales Representative",13,"Product feedback, Follow-up on order, Discuss project details, Follow-up on proposal",76,9527.1,9,0.47,35,B
Sanchez and Sons,Small,Automotive R&D and Testing Centers,New Brandi,South Dakota,1,CCO,12,"Product feedback, Follow-up on proposal, Product demostration, Follow-up on order, Discuss project details",55,10579.67,7,0.37,97,C
Espinoza-Cooper,Medium,Automobile Manufacturers (OEMs),Matthewhaven,Iowa,1,CCO,11,"Customer inquiry, Discuss project details, Product demostration, Product feedback, Follow-up on order",115,9894.67,12,0.48,101,A
"Shepard, Smith and Garcia",Medium,Electric Vehicle (EV) Industry,East Laura,Arkansas,3,"Sales Representative, CFO, Sales Manager",8,"Customer inquiry, Product feedback, Follow-up on proposal, Product demostration, Contract negotiation, Discuss project details",41,9717.38,8,0.47,92,B
Blankenship-Rivera,Large,Fleet Management,Amyside,Utah,3,"CFO, Sales Manager, CCO",14,"Follow-up on order, Follow-up on proposal, Product demostration, Customer inquiry, Product feedback, Discuss project details",108,9832.5,11,0.52,48,A
"Williams, Fuentes and Gallegos",Small,Automobile Manufacturers (OEMs),New Melissa,Arkansas,3,"CCO, Sales Manager",18,"Product feedback, Follow-up on order, Discuss project details, Contract negotiation, Customer inquiry, Product demostration",110,9924.76,7,0.41,119,C
Cruz-Romero,Medium,Fleet Management,Kevinland,Delaware,3,"CFO, CEO, Technical Representative",10,"Follow-up on order, Discuss project details, Contract negotiation, Customer inquiry, Product feedback",39,9958.11,6,0.4,88,C
"Castro, Morris and Rogers",Small,Automotive R&D and Testing Centers,New Amyborough,Georgia,3,"Sales Manager, CFO, Technical Manager",19,"Discuss project details, Contract negotiation, Product demostration, Customer inquiry, Follow-up on proposal, Follow-up on order",135,9782.37,9,0.53,131,B
Kelly Inc,Medium,Automobile Manufacturers (OEMs),South Kevin,Oklahoma,1,Sales Manager,22,"Discuss project details, Follow-up on order, Product feedback, Customer inquiry, Contract negotiation, Product demostration, Follow-up on proposal",110,10040.12,8,0.4,74,B
White-Robinson,Large,Automotive R&D and Testing Centers,Millerberg,Louisiana,2,"CFO, Technical Representative",11,"Product demostration, Customer inquiry, Follow-up on order, Product feedback, Contract negotiation, Follow-up on proposal, Discuss project details",35,9940.12,15,0.5,51,A
Yu-Gonzalez,Large,Connected Car Solutions Providers,Kelseyshire,Georgia,2,Technical Representative,16,"Follow-up on proposal, Customer inquiry, Product feedback, Discuss project details, Contract negotiation, Follow-up on order, Product demostration",112,10014.09,7,0.44,38,C
Yu Inc,Large,Automotive R&D and Testing Centers,Hansenside,Pennsylvania,1,CFO,12,"Product feedback, Discuss project details, Follow-up on proposal, Customer inquiry, Product demostration, Contract negotiation",165,9940.07,17,0.59,81,A
"Johnson, Hill and Martin",Large,Ridesharing & Mobility Services,Jessebury,Oklahoma,2,"Sales Manager, Sales Representative",19,"Customer inquiry, Product demostration, Product feedback, Follow-up on order, Contract negotiation, Discuss project details",36,10169.61,8,0.44,202,B
Hunter Ltd,Small,Fleet Management,Lake Lisa,Louisiana,4,"CFO, Technical Representative, Sales Manager",23,"Follow-up on order, Customer inquiry, Product demostration, Discuss project details, Product feedback, Follow-up on proposal",49,10364.99,8,0.36,114,B
Mills and Sons,Small,Fleet Management,New Jennaborough,Rhode Island,4,"Technical Manager, Sales Representative, CEO",12,"Product demostration, Discuss project details, Follow-up on order, Product feedback, Contract negotiation",56,10074.9,10,0.5,220,B
Scott-Young,Small,Fleet Management,Port Sheilaburgh,Texas,1,CEO,16,"Follow-up on proposal, Discuss project details, Customer inquiry, Follow-up on order, Product demostration, Product feedback, Contract negotiation",52,9993.28,7,0.39,67,C
Washington-Cole,Large,Automotive R&D and Testing Centers,Port Heathershire,Idaho,2,"CCO, Sales Manager",13,"Product feedback, Contract negotiation, Follow-up on proposal, Customer inquiry, Product demostration, Discuss project details",123,10204.71,11,0.55,247,A
Mills and Sons,Medium,Electric Vehicle (EV) Industry,Victoriafurt,North Carolina,1,CFO,11,"Product demostration, Product feedback, Contract negotiation, Follow-up on proposal, Discuss project details, Follow-up on order",62,9635.76,9,0.5,60,B
Vasquez-Kim,Large,Automotive R&D and Testing Centers,Lake Amandaside,Idaho,2,"CEO, Technical Representative",21,"Follow-up on order, Customer inquiry, Follow-up on proposal, Product demostration, Discuss project details, Product feedback, Contract negotiation",122,10520.82,12,0.6,128,A
Moon PLC,Large,Connected Car Solutions Providers,New Ethan,Iowa,1,Sales Manager,18,"Discuss project details, Customer inquiry, Product feedback, Follow-up on proposal, Product demostration, Contract negotiation",83,9432.92,9,0.41,78,B
"Taylor, Yoder and Yang",Large,Automotive R&D and Testing Centers,East Christopher,Vermont,3,CCO,24,"Customer inquiry, Follow-up on proposal, Contract negotiation, Discuss project details, Product demostration, Follow-up on order, Product feedback",41,9902.24,8,0.44,58,B
Williams LLC,Small,Ridesharing & Mobility Services,West Sharonview,North Dakota,2,"Technical Manager, CCO",19,"Follow-up on order, Follow-up on proposal, Customer inquiry, Product feedback, Discuss project details, Contract negotiation, Product demostration",229,10079.19,7,0.44,55,C
"Monroe, Torres and Lopez",Medium,Connected Car Solutions Providers,Silvaland,South Dakota,1,Technical Representative,13,"Contract negotiation, Follow-up on order, Discuss project details, Customer inquiry, Product demostration, Product feedback",49,9691.67,14,0.52,122,A
Porter Inc,Medium,Ridesharing & Mobility Services,North Samuel,Connecticut,1,Technical Manager,11,"Follow-up on proposal, Follow-up on order, Product demostration, Discuss project details, Product feedback, Contract negotiation",180,10337.64,8,0.53,74,B
Dominguez LLC,Large,Automobile Manufacturers (OEMs),New Linda,Tennessee,3,"Technical Representative, Sales Manager, Sales Representative",16,"Contract negotiation, Product feedback, Follow-up on proposal, Customer inquiry, Product demostration, Follow-up on order, Discuss project details",149,9838.55,19,0.59,33,A
Tate Inc,Medium,Automobile Manufacturers (OEMs),Josephside,Vermont,1,CFO,15,"Follow-up on order, Follow-up on proposal, Product feedback, Customer inquiry, Product demostration, Discuss project details, Contract negotiation",78,9928.27,11,0.42,55,A
Martinez PLC,Large,Electric Vehicle (EV) Industry,Port Trevor,Connecticut,1,Sales Manager,16,"Customer inquiry, Contract negotiation, Discuss project details, Product demostration, Follow-up on proposal, Product feedback, Follow-up on order",41,9955.62,4,0.29,74,C
"Sellers, Duarte and Baldwin",Large,Fleet Management,West Christopher,New Mexico,1,CCO,22,"Discuss project details, Follow-up on order, Contract negotiation, Customer inquiry, Follow-up on proposal, Product feedback",56,9468.76,10,0.67,153,B
Kelley-Tucker,Medium,Connected Car Solutions Providers,Lake James,Pennsylvania,3,Sales Manager,22,"Product demostration, Follow-up on order, Customer inquiry, Discuss project details, Contract negotiation, Product feedback",87,10154.88,9,0.43,59,B
Alexander and Sons,Small,Electric Vehicle (EV) Industry,New Tommymouth,Hawaii,2,"CCO, CEO",16,"Product demostration, Discuss project details, Follow-up on proposal, Follow-up on order, Customer inquiry, Product feedback, Contract negotiation",204,9888.44,9,0.47,74,B
"Fernandez, Campbell and Rose",Medium,Automotive R&D and Testing Centers,Harrisbury,Minnesota,3,"CEO, Technical Manager, Technical Representative",15,"Follow-up on order, Follow-up on proposal, Product feedback, Contract negotiation, Customer inquiry, Discuss project details",95,9934.69,9,0.53,250,B
Gonzalez LLC,Small,Fleet Management,Coltonfort,Minnesota,1,CFO,20,"Discuss project details, Product feedback, Customer inquiry, Product demostration, Follow-up on order, Follow-up on proposal, Contract negotiation",147,9616.38,6,0.46,319,C
Thompson-Knight,Large,Ridesharing & Mobility Services,South Jacobfurt,Pennsylvania,1,Technical Representative,10,"Follow-up on order, Product demostration, Product feedback, Customer inquiry, Contract negotiation, Follow-up on proposal",54,10090.23,7,0.39,107,C
"Newton, Pineda and Mcgee",Small,Ridesharing & Mobility Services,East Amy,Missouri,2,"Technical Manager, CEO",14,"Follow-up on proposal, Follow-up on order, Discuss project details, Contract negotiation, Product feedback, Product demostration, Customer inquiry",40,10029.15,16,0.64,41,A
Coleman Group,Small,Automotive R&D and Testing Centers,West Ashley,New Hampshire,1,CCO,13,"Product demostration, Discuss project details, Follow-up on order, Contract negotiation, Product feedback, Follow-up on proposal, Customer inquiry",76,10040.69,7,0.29,74,C
Petersen Group,Small,Electric Vehicle (EV) Industry,Romanberg,Alaska,1,CEO,17,"Follow-up on order, Contract negotiation, Product demostration, Follow-up on proposal, Customer inquiry, Product feedback",114,9841.52,9,0.43,140,B
"Rios, Allen and Ferguson",Small,Automotive R&D and Testing Centers,Martinezton,Massachusetts,3,"Sales Representative, Sales Manager, CFO",14,"Follow-up on proposal, Contract negotiation, Customer inquiry, Product feedback, Product demostration, Follow-up on order, Discuss project details",187,9924.3,8,0.4,40,B
Ward LLC,Medium,Connected Car Solutions Providers,Hollymouth,Washington,2,"Technical Manager, Technical Representative",16,"Discuss project details, Product feedback, Contract negotiation, Follow-up on order, Product demostration, Customer inquiry",131,10252.5,10,0.38,86,B
Hodge-Morrow,Small,Connected Car Solutions Providers,Gonzalesport,Kansas,1,Sales Manager,18,"Product feedback, Product demostration, Contract negotiation, Follow-up on proposal, Customer inquiry, Follow-up on order",38,10099.99,7,0.41,49,C
"James, Hernandez and Clark",Large,Electric Vehicle (EV) Industry,Martinezchester,North Dakota,2,"Technical Representative, Technical Manager",15,"Product feedback, Follow-up on proposal, Contract negotiation, Follow-up on order, Discuss project details, Product demostration",122,10009.86,10,0.42,47,B
"Garcia, Chavez and Bishop",Large,Ridesharing & Mobility Services,Lesliefurt,Colorado,3,"Technical Manager, CEO, Sales Representative",14,"Follow-up on proposal, Product feedback, Product demostration, Customer inquiry, Follow-up on order, Discuss project details",201,10141.3,7,0.41,55,C
"Taylor, Riddle and Gonzales",Medium,Automobile Manufacturers (OEMs),Johnsonfurt,North Dakota,1,Sales Representative,15,"Contract negotiation, Follow-up on proposal, Customer inquiry, Follow-up on order, Product feedback, Discuss project details",83,10653.75,5,0.33,64,C
Lyons LLC,Small,Electric Vehicle (EV) Industry,Crystalland,Massachusetts,1,CCO,11,"Follow-up on proposal, Customer inquiry, Discuss project details",66,10020.33,10,0.53,118,B
"Nguyen, Shelton and Torres",Medium,Fleet Management,New Randallburgh,Washington,4,"CFO, Technical Representative, Technical Manager, CCO",9,"Product feedback, Contract negotiation, Follow-up on order, Customer inquiry, Follow-up on proposal, Product demostration, Discuss project details",35,10168.58,11,0.61,183,A
Hill Group,Small,Automobile Manufacturers (OEMs),Jonathanfort,Washington,2,"CCO, Sales Representative",16,"Product demostration, Follow-up on order, Product feedback, Follow-up on proposal, Customer inquiry, Discuss project details, Contract negotiation",37,9875.92,7,0.39,34,C
Davis-Hart,Large,Fleet Management,Huertatown,West Virginia,1,Technical Manager,18,"Customer inquiry, Follow-up on order, Product feedback, Product demostration, Contract negotiation, Discuss project details, Follow-up on proposal",50,9749.09,10,0.53,173,B
"Fowler, Macdonald and Miles",Medium,Automobile Manufacturers (OEMs),Lake Raymondchester,Massachusetts,4,"Technical Representative, Sales Manager, Technical Manager",12,"Customer inquiry, Contract negotiation, Product feedback, Discuss project details",75,10008.71,3,0.17,46,C
White-Larson,Large,Electric Vehicle (EV) Industry,South Donnashire,Rhode Island,2,"Technical Representative, Sales Manager",18,"Discuss project details, Follow-up on proposal, Follow-up on order, Product feedback, Product demostration, Customer inquiry, Contract negotiation",56,9974.88,16,0.48,56,A
Cole-Arnold,Large,Ridesharing & Mobility Services,North Karen,Texas,2,"CFO, Technical Representative",15,"Follow-up on proposal, Follow-up on order, Product feedback, Discuss project details, Product demostration, Contract negotiation",70,10127.14,12,0.52,45,A
Bailey-Ibarra,Large,Automobile Manufacturers (OEMs),East Michael,Maryland,1,Sales Representative,23,"Product demostration, Customer inquiry, Follow-up on proposal, Contract negotiation, Discuss project details, Follow-up on order, Product feedback",256,10040.33,6,0.35,112,C
"Johnson, Parsons and Hawkins",Large,Electric Vehicle (EV) Industry,North Larry,Utah,2,"Sales Manager, CCO",16,"Contract negotiation, Follow-up on proposal, Discuss project details, Customer inquiry, Product demostration, Follow-up on order",99,10173.28,7,0.39,100,C
Thomas PLC,Large,Ridesharing & Mobility Services,Rhondastad,Minnesota,1,Technical Manager,17,"Follow-up on order, Follow-up on proposal, Product demostration, Discuss project details, Customer inquiry, Product feedback, Contract negotiation",158,9808.03,12,0.67,55,A
"Stout, Davis and Johnson",Large,Connected Car Solutions Providers,West Susanborough,Maryland,2,Sales Manager,20,"Product feedback, Contract negotiation, Follow-up on proposal, Discuss project details, Follow-up on order, Customer inquiry, Product demostration",152,9851.63,14,0.61,102,A
Reyes and Sons,Large,Fleet Management,Mariaberg,Wyoming,2,"CCO, CFO",11,"Contract negotiation, Customer inquiry, Discuss project details, Follow-up on proposal, Follow-up on order",73,9662.18,13,0.54,39,A
Mendoza Group,Small,Fleet Management,Scottburgh,Kansas,1,CEO,14,"Follow-up on order, Product feedback, Discuss project details, Contract negotiation, Follow-up on proposal, Customer inquiry",79,9782.23,5,0.33,184,C
Whitney-King,Medium,Electric Vehicle (EV) Industry,Paulshire,Hawaii,2,"CFO, Sales Representative",19,"Customer inquiry, Product feedback, Follow-up on order, Discuss project details, Contract negotiation, Product demostration, Follow-up on proposal",58,9562.04,10,0.37,33,B
Long-Miller,Small,Connected Car Solutions Providers,Longfurt,Utah,1,Sales Representative,16,"Contract negotiation, Discuss project details, Follow-up on order, Customer inquiry, Product feedback, Product demostration",79,9658.89,5,0.38,40,C
Giles Ltd,Large,Connected Car Solutions Providers,North Josephtown,Hawaii,1,Technical Representative,20,"Contract negotiation, Product feedback, Discuss project details, Product demostration, Follow-up on proposal, Customer inquiry, Follow-up on order",53,9819.68,9,0.53,83,B
"Morris, Patterson and Blankenship",Small,Automotive R&D and Testing Centers,New Melanie,Illinois,1,Sales Representative,10,"Customer inquiry, Product feedback, Contract negotiation, Follow-up on order",186,10143.15,8,0.42,79,B
Rios-Rodriguez,Small,Fleet Management,East Jennifer,Rhode Island,1,CEO,18,"Follow-up on order, Follow-up on proposal, Product demostration, Discuss project details, Customer inquiry, Contract negotiation, Product feedback",125,10580.56,7,0.47,47,C
"Jordan, Rice and Davis",Small,Electric Vehicle (EV) Industry,North Ashley,Alaska,1,Technical Manager,17,"Discuss project details, Follow-up on order, Customer inquiry, Product demostration, Contract negotiation, Product feedback",60,10046.18,9,0.39,79,B
"Reynolds, Watson and Thompson",Large,Fleet Management,Mitchellchester,Georgia,3,"CCO, Sales Representative",18,"Follow-up on proposal, Customer inquiry, Contract negotiation, Discuss project details, Follow-up on order, Product feedback, Product demostration",74,9849.82,10,0.48,47,B
"Keith, Turner and Paul",Large,Ridesharing & Mobility Services,Jorgeport,Arkansas,2,"CCO, CEO",22,"Contract negotiation, Follow-up on order, Product feedback, Follow-up on proposal, Product demostration, Customer inquiry, Discuss project details",142,9943.95,7,0.44,125,C
"Rocha, Ramirez and Jones",Small,Ridesharing & Mobility Services,Anthonymouth,Delaware,2,"CFO, Technical Manager",16,"Contract negotiation, Discuss project details, Follow-up on order, Product demostration, Product feedback, Customer inquiry",214,9908.81,6,0.27,149,C
Eaton-Harris,Large,Fleet Management,South Ashleyfurt,Maine,1,Sales Manager,14,"Product feedback, Follow-up on order, Customer inquiry, Follow-up on proposal, Contract negotiation, Discuss project details, Product demostration",63,9772.41,8,0.5,50,B
Nelson-Becker,Large,Ridesharing & Mobility Services,West Carlaside,Idaho,2,Technical Representative,13,"Follow-up on order, Discuss project details, Customer inquiry, Follow-up on proposal, Product demostration, Contract negotiation",69,9934.61,6,0.4,58,C
"Andersen, Alvarez and Edwards",Medium,Automotive R&D and Testing Centers,North Marymouth,Maryland,1,CEO,11,"Contract negotiation, Customer inquiry, Follow-up on order, Follow-up on proposal, Product feedback",81,9804.32,9,0.43,38,B
"Simpson, Walker and Barrera",Small,Automobile Manufacturers (OEMs),Robertsburgh,Montana,1,Sales Manager,19,"Follow-up on order, Product demostration, Product feedback, Contract negotiation, Follow-up on proposal, Customer inquiry",55,9867.75,7,0.44,56,C
"Miller, Porter and Chung",Small,Automotive R&D and Testing Centers,Hollandtown,North Carolina,2,"CEO, Sales Manager",21,"Follow-up on order, Contract negotiation, Product demostration, Follow-up on proposal, Product feedback, Discuss project details, Customer inquiry",60,10260.94,12,0.48,110,A
Holland and Sons,Large,Electric Vehicle (EV) Industry,South Eric,Rhode Island,2,Technical Representative,12,"Product demostration, Follow-up on order, Customer inquiry, Contract negotiation, Product feedback",347,10096.1,9,0.41,110,B
Cooper Ltd,Small,Connected Car Solutions Providers,East Beverly,Ohio,1,Sales Representative,25,"Contract negotiation, Follow-up on order, Customer inquiry, Product feedback, Discuss project details, Follow-up on proposal, Product demostration",100,10025.91,9,0.6,215,B
"Rogers, Browning and Robinson",Large,Electric Vehicle (EV) Industry,Michaelville,Vermont,3,"CEO, CCO, Sales Manager",18,"Follow-up on proposal, Discuss project details, Follow-up on order, Customer inquiry, Contract negotiation, Product feedback, Product demostration",119,9685.29,13,0.68,79,A
Jones Group,Large,Automobile Manufacturers (OEMs),Johnfurt,Missouri,1,Sales Manager,26,"Product demostration, Follow-up on order, Follow-up on proposal, Contract negotiation, Customer inquiry, Product feedback, Discuss project details",76,9930.33,10,0.56,154,B
Hendricks-Ross,Large,Connected Car Solutions Providers,Reyesfurt,Iowa,3,"Sales Representative, CFO, Technical Representative",15,"Customer inquiry, Follow-up on order, Product demostration, Follow-up on proposal, Product feedback, Contract negotiation",40,9692.02,6,0.35,152,C
Smith-Bailey,Medium,Connected Car Solutions Providers,Candaceburgh,Wyoming,1,Sales Representative,16,"Follow-up on proposal, Product feedback, Discuss project details, Contract negotiation, Product demostration",79,9764.33,12,0.55,103,A
Clark-Dean,Small,Automobile Manufacturers (OEMs),Alvaradomouth,Vermont,2,"Sales Representative, CEO",9,"Customer inquiry, Discuss project details, Product demostration, Follow-up on order, Follow-up on proposal, Contract negotiation",54,9896.49,10,0.67,110,B
Lee Group,Large,Ridesharing & Mobility Services,Stephenchester,Massachusetts,1,CCO,20,"Customer inquiry, Follow-up on proposal, Follow-up on order, Discuss project details, Product feedback, Contract negotiation, Product demostration",140,9496.24,7,0.7,82,C
"Barber, Dawson and Leonard",Small,Fleet Management,East Deborah,Illinois,1,Sales Manager,13,"Discuss project details, Customer inquiry, Contract negotiation, Follow-up on proposal, Follow-up on order, Product feedback",53,9941.3,5,0.45,133,C
"Costa, Hill and Goodwin",Small,Ridesharing & Mobility Services,Larryberg,Iowa,3,"Sales Representative, CFO",15,"Product demostration, Discuss project details, Contract negotiation, Follow-up on order, Product feedback",65,9677.25,14,0.58,101,A
"Gutierrez, Bryant and Colon",Medium,Connected Car Solutions Providers,North Emilybury,Oklahoma,5,"Sales Representative, CEO, CCO, CFO",16,"Customer inquiry, Product demostration, Follow-up on proposal, Contract negotiation, Discuss project details, Follow-up on order, Product feedback",48,9969.2,8,0.35,53,B
Sexton PLC,Small,Ridesharing & Mobility Services,Lake Sarahtown,Alabama,1,Technical Representative,9,"Product demostration, Customer inquiry, Discuss project details, Follow-up on proposal, Product feedback",70,10169.76,11,0.46,127,A
"Holmes, Skinner and Petersen",Small,Electric Vehicle (EV) Industry,East Brandonhaven,Missouri,1,CCO,11,"Contract negotiation, Product feedback, Follow-up on proposal, Product demostration, Discuss project details, Customer inquiry",109,10127.11,6,0.27,93,C
"Holland, Murphy and Holmes",Small,Electric Vehicle (EV) Industry,East Andrea,Washington,1,Technical Manager,15,"Follow-up on proposal, Product demostration, Product feedback, Discuss project details, Follow-up on order, Contract negotiation",71,9579.37,7,0.32,60,C
Smith and Sons,Large,Automotive R&D and Testing Centers,North Ronnie,West Virginia,4,"Sales Manager, CCO, Sales Representative, CEO",15,"Contract negotiation, Discuss project details, Customer inquiry, Follow-up on order, Product demostration, Product feedback, Follow-up on proposal",118,9889.52,12,0.44,62,A
"Stevens, Hanna and Salazar",Medium,Automobile Manufacturers (OEMs),New Ashley,North Dakota,2,"Sales Manager, CFO",18,"Follow-up on proposal, Follow-up on order, Product feedback, Contract negotiation, Discuss project details, Customer inquiry, Product demostration",81,10677.24,5,0.42,39,C
"Reyes, Benson and Carlson",Small,Electric Vehicle (EV) Industry,West Gabrielleton,North Carolina,2,"Technical Representative, Technical Manager",15,"Contract negotiation, Customer inquiry, Follow-up on order, Product feedback, Product demostration, Follow-up on proposal",156,9824.17,9,0.38,62,B
"Murphy, Mendoza and Flores",Medium,Automobile Manufacturers (OEMs),Smithstad,Oregon,1,Technical Manager,13,"Product feedback, Follow-up on proposal, Discuss project details, Follow-up on order, Contract negotiation, Customer inquiry",108,10014.55,9,0.53,88,B
Rodriguez Inc,Small,Fleet Management,New Dennis,Delaware,1,Technical Representative,23,"Product demostration, Customer inquiry, Product feedback, Contract negotiation, Discuss project details, Follow-up on order, Follow-up on proposal",67,9704.16,9,0.38,65,B
Noble-Garner,Small,Fleet Management,North Cynthiatown,New York,2,"Technical Manager, Sales Manager",12,"Product demostration, Follow-up on order, Contract negotiation, Product feedback, Follow-up on proposal, Discuss project details",62,9790.67,9,0.47,143,B
"Morgan, Murphy and Hughes",Large,Automotive R&D and Testing Centers,North Amanda,West Virginia,2,CCO,16,"Discuss project details, Follow-up on order, Customer inquiry, Follow-up on proposal, Product feedback, Product demostration",36,9551.96,15,0.68,60,A
Williams-Osborne,Small,Connected Car Solutions Providers,Judyberg,Pennsylvania,2,"Technical Manager, Sales Representative",9,"Discuss project details, Follow-up on order, Contract negotiation, Customer inquiry, Product demostration, Product feedback",291,10220.48,10,0.48,69,B
"Blake, Weeks and Scott",Large,Fleet Management,North Brandyside,New Hampshire,1,CFO,13,"Discuss project details, Follow-up on order, Contract negotiation, Customer inquiry, Product demostration, Follow-up on proposal, Product feedback",72,10124.06,7,0.37,70,C
